shipment_id,order_date,warehouse,origin_city,destination_city,product_category,quantity,order_value,distance_km,transportation_mode,shipping_cost,estimated_delivery_days,actual_delivery_days,delivery_status,delay_days,customer_segment,inventory_level,warehouse_capacity,fuel_cost,weather_condition,delivery_time,cost_per_km,cost_per_shipment,is_delayed,is_on_time,warehouse_utilization,route
SHIP-10001,2025-04-13,WH-North-Delhi,Delhi,Jaipur,Electronics,226,39080.97,636,Road Freight (Truck),646.53,5,7,Delayed,2,SMB,8136,10000,1.41,Rainy,7,1.0166,646.53,1,0,81.36,Delhi -> Jaipur
SHIP-10002,2025-12-15,WH-East-Kolkata,Kolkata,Kanpur,Automotive Parts,404,66387.53,562,Road Freight (Truck),674.83,5,4,Early,0,SMB,6479,7500,1.33,Clear,4,1.2008,674.83,0,1,86.39,Kolkata -> Kanpur
SHIP-10003,2025-09-28,WH-North-Delhi,Delhi,Kochi,Electronics,273,55788.78,1735,Road Freight (Truck),1511.52,8,8,On-Time,0,Enterprise,5727,10000,1.3,Clear,8,0.8712,1511.52,0,1,57.27,Delhi -> Kochi
SHIP-10004,2025-04-17,WH-South-Bengaluru,Bengaluru,Kanpur,Consumer Goods,106,22146.94,1929,Rail Freight,1127.1,12,12,On-Time,0,Enterprise,4204,8500,1.51,Clear,12,0.5843,1127.1,0,1,49.46,Bengaluru -> Kanpur
SHIP-10005,2025-03-13,WH-North-Delhi,Delhi,Surat,Electronics,126,27597.49,808,Road Freight (Truck),714.51,6,6,On-Time,0,E-Commerce Retailer,5143,10000,1.16,Clear,6,0.8843,714.51,0,1,51.43,Delhi -> Surat
SHIP-10006,2025-07-08,WH-North-Delhi,Delhi,Chandigarh,Electronics,208,23362.75,969,Road Freight (Truck),909.42,5,5,On-Time,0,Enterprise,8226,10000,1.31,Clear,5,0.9385,909.42,0,1,82.26,Delhi -> Chandigarh
SHIP-10007,2025-01-21,WH-North-Delhi,Delhi,Indore,Automotive Parts,329,58890.39,952,Road Freight (Truck),941.47,6,6,On-Time,0,SMB,6548,10000,1.55,Clear,6,0.9889,941.47,0,1,65.48,Delhi -> Indore
SHIP-10008,2025-04-13,WH-East-Kolkata,Kolkata,Lucknow,Consumer Goods,30,2341.17,458,Road Freight (Truck),408.62,4,3,Early,0,SMB,3839,7500,1.17,Clear,3,0.8922,408.62,0,1,51.19,Kolkata -> Lucknow
SHIP-10009,2025-05-02,WH-Central-Nagpur,Nagpur,Kochi,Consumer Goods,209,52217.4,1581,Rail Freight,971.22,9,10,Delayed,1,E-Commerce Retailer,3659,6000,1.2,Rainy,10,0.6143,971.22,1,0,60.98,Nagpur -> Kochi
SHIP-10010,2025-08-03,WH-East-Kolkata,Kolkata,Kanpur,Electronics,380,21357.35,1588,Air Cargo,3047.64,4,4,On-Time,0,Individual,5187,7500,1.33,Clear,4,1.9192,3047.64,0,1,69.16,Kolkata -> Kanpur
SHIP-10011,2025-11-27,WH-West-Mumbai,Mumbai,Patna,Apparel,350,6081.91,1279,Road Freight (Truck),1211.19,8,9,Delayed,1,E-Commerce Retailer,10205,12000,1.68,Rainy,9,0.947,1211.19,1,0,85.04,Mumbai -> Patna
SHIP-10012,2025-03-29,WH-South-Bengaluru,Bengaluru,Surat,Apparel,257,12842.3,506,Road Freight (Truck),580.72,5,7,Delayed,2,Enterprise,6388,8500,1.61,Clear,7,1.1477,580.72,1,0,75.15,Bengaluru -> Surat
