shipment_id,order_date,origin_city,destination_city,product_category,quantity,order_value,distance_km,shipping_cost,estimated_delivery_days,actual_delivery_days,delivery_status,delay_days,inventory_level,warehouse_capacity,fuel_cost,shipping_cost_standardized,shipping_cost_normalized,distance_km_standardized,distance_km_normalized,transportation_mode_Express Courier,transportation_mode_Rail Freight,transportation_mode_Road Freight (Truck),weather_condition_Foggy,weather_condition_Rainy,weather_condition_Severe Heat,weather_condition_Stormy,warehouse_WH-East-Kolkata,warehouse_WH-North-Delhi,warehouse_WH-South-Bengaluru,warehouse_WH-West-Mumbai,customer_segment_Enterprise,customer_segment_Individual,customer_segment_SMB
SHIP-10001,2025-04-13,Delhi,Jaipur,Electronics,226,39080.97,636,646.53,5,7,Delayed,2,8136,10000,1.41,-0.8120443931961675,0.21917202704130384,-0.8559876242937411,0.2607377463365336,False,False,True,False,True,False,False,False,True,False,False,False,False,True
SHIP-10002,2025-12-15,Kolkata,Kanpur,Automotive Parts,404,66387.53,562,674.83,5,4,Early,0,6479,7500,1.33,-0.7591367842506328,0.23291854942615553,-0.9848261170131888,0.22334512379989893,False,False,True,False,False,False,False,True,False,False,False,False,False,True
SHIP-10003,2025-09-28,Delhi,Kochi,Electronics,273,55788.78,1735,1511.52,8,8,On-Time,0,5727,10000,1.3,0.8050776089875068,0.639334726605714,1.0574380986612992,0.8160687215765539,False,False,True,False,False,False,False,False,True,False,False,True,False,False
SHIP-10004,2025-04-17,Bengaluru,Kanpur,Consumer Goods,106,22146.94,1929,1127.1,12,12,On-Time,0,4204,8500,1.51,0.08639410966445313,0.4526054638783407,1.395203876871743,0.9140980293077313,False,True,False,False,False,False,False,False,False,True,False,True,False,False
SHIP-10005,2025-03-13,Delhi,Surat,Electronics,126,27597.49,808,714.51,6,6,On-Time,0,5143,10000,1.16,-0.6849539601178126,0.252192825335375,-0.5565251817566466,0.3476503284487115,False,False,True,False,False,False,False,False,True,False,False,False,False,False
SHIP-10006,2025-07-08,Delhi,Chandigarh,Electronics,208,23362.75,969,909.42,5,5,On-Time,0,8226,10000,1.31,-0.3205644880480547,0.3468689623682877,-0.27621440705622663,0.42900454775138963,False,False,True,False,False,False,False,False,True,False,False,True,False,False
SHIP-10007,2025-01-21,Delhi,Indore,Automotive Parts,329,58890.39,952,941.47,6,6,On-Time,0,6548,10000,1.55,-0.26064615353553217,0.3624370204048423,-0.3058124391674511,0.42041435068216276,False,False,True,False,False,False,False,False,True,False,False,False,False,True
SHIP-10008,2025-04-13,Kolkata,Lucknow,Consumer Goods,30,2341.17,458,408.62,4,3,Early,0,3839,7500,1.17,-1.2568235184340522,0.10360894786886397,-1.1658964311053854,0.1707933299646286,False,False,True,False,False,False,False,True,False,False,False,False,False,True
SHIP-10009,2025-05-02,Nagpur,Kochi,Consumer Goods,209,52217.4,1581,971.22,9,10,Delayed,1,3659,6000,1.2,-0.2050277307040956,0.3768878699083524,0.789314748947854,0.7382516422435574,False,True,False,False,True,False,False,False,False,False,False,False,False,False
SHIP-10010,2025-08-03,Kolkata,Kanpur,Electronics,380,21357.35,1588,2254.0225000000005,4,4,On-Time,0,5187,7500,1.33,2.193205945068137,1.0000000000000002,0.8015021739348288,0.7417887822132391,False,False,False,False,False,False,False,True,False,False,False,False,True,False
